,SiOs postliste 10.09. - 16.09.2012,,
Endret dato,Dok # Dokumentnavn,Applikasjon,Forfatternavn
14.09.2012,25898 Energibruk i bygning for 2011 - brev fra SSB,ACROBAT,Espen Schram
13.09.2012,"25852 PBE, Bekreftelse på mottak om varsel om sam",MS WORD,Mattis Schrøder
,menslåing av matrikkelenheter på Sogn,,
12.09.2012,25838 Statens karverk tinglysing støyskjerm RES 38,MS WORD,Mattis Schrøder
12.09.2012,25840 Statens kartverk. støyskjerm RES 38. skjema e,MS WORD,Mattis Schrøder
,rklæring om rettighet,,
