Endret dato,Dok # Dokumentnavn,Applikasjon,Forfatternavn
08.10.2019,55099 Høring - NOU 2019:9 Fra kalveskinn,MS OUTLOOK,Torgunn Kveberg
,til datasjø - Ny lov om samfunnsdok,,
,"umentasjon og arkiver, Kulturdepart",,
,ementet 8.10.19,,
