Endret dato,Dok # Dokumentnavn,Applikasjon,Forfatternavn
16.10.2019 12:46:56,55155 Brev til Plan og byggningsetaten. Er,MS OUTLOOK,Trond Bakke
,klæring om arealoverføring Gjerdru,,
,ms vei,,
